,model,input_text,output_data_source,input_vector,output_text,output_vector,k
292,LASER,آخرت را بر دنیا باید ترجیح داد,تک‌بیتی‌های فارسی => 169,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",غنیمت شمار اینکه عالم دمی است دمی پیش دانا به از عالمی است,"[[-3.7710339e-05  3.9261329e-05 -8.9884888e-06 ...  1.3706050e-03
  -3.4786525e-04 -4.2676035e-04]]",3
295,LASER,آخرت را بر دنیا باید ترجیح داد,تک‌بیتی‌های فارسی => 2,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",رزق را روزی رسان پر میدهد بی مگس هرگز نماند عنکبوت,"[[ 6.8197296e-05  4.2652293e-05 -1.2571260e-04 ... -3.0784384e-05
  -3.6954693e-04 -7.3645404e-04]]",6
291,LASER,آخرت را بر دنیا باید ترجیح داد,تک‌بیتی‌های فارسی => 272,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",بی عوض دانی چه باشد در جهان عمر باشد عمر فدر آن بدان,"[[-5.3759250e-06  2.3370637e-03 -1.0768426e-04 ...  6.7549484e-04
  -8.8256475e-04  1.0896005e-02]]",2
290,LASER,آخرت را بر دنیا باید ترجیح داد,تک‌بیتی‌های فارسی => 294,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",جهان چون زلف و خط و خال و ابروست که هرچیزی به جای خویش نیکوست,"[[-1.4759581e-04 -3.9368138e-07 -4.9677059e-05 ...  8.3808554e-05
  -3.8766948e-04  3.4349617e-03]]",1
294,LASER,آخرت را بر دنیا باید ترجیح داد,تک‌بیتی‌های فارسی => 314,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",چون پرده براندازد عالم به سرانداز جایی که یقین آمد پندار نمی‌گنجد,"[[-1.35485039e-04  1.57844531e-03 -1.00118625e-04 ... -3.61884195e-05
  -1.76899266e-04  1.96924177e-03]]",5
293,LASER,آخرت را بر دنیا باید ترجیح داد,تک‌بیتی‌های فارسی => 342,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",خوش باش و زمان به کام یاران گذران زیرا که نماند این جهان بر یک حال,"[[-3.0092055e-05  5.4811308e-04 -2.1079943e-05 ...  1.8811170e-03
  -4.2007724e-04  1.3221885e-03]]",4
530,LASER,آخرت را بر دنیا باید ترجیح داد,حکمت‌های نهج‌البلاغه => 27,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",و قال ع افضل الزهد اخفاء الزهد ,"[[ 0.0106686   0.01099071 -0.00058211 ...  0.00649228  0.0124994
   0.02742031]]",1
531,LASER,آخرت را بر دنیا باید ترجیح داد,حکمت‌های نهج‌البلاغه => 377,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",و قال ع من اصلح سریرته اصلح الله علانیته و من عمل لدینه کفاه الله امر دنیاه و من احسن فیما بینه و بین الله احسن الله ما بینه و بین الناس ,"[[ 0.00291189  0.00803706 -0.00055314 ...  0.01942976 -0.00270959
   0.02715547]]",2
662,LASER,آخرت را بر دنیا باید ترجیح داد,غزلیات حافظ => 132,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",صوفی نهاد دام و سر حقه باز کرد بنیاد مکر با فلک حقه باز کرد بازی چرخ بشکندش بیضه در کلاه زیرا که عرض شعبده با اهل راز کرد ساقی بیا که شاهد رعنای صوفیان دیگر به جلوه آمد و آغاز ناز کرد این مطرب از کجاست که ساز عراق ساخت و آهنگ بازگشت به راه حجاز کرد ای دل بیا که ما به پناه خدا رویم زان چه آستین کوته و دست دراز کرد صنعت مکن که هر که محبت نه راست باخت عشقش به روی دل در معنی فراز کرد فردا که پیشگاه حقیقت شود پدید شرمنده ره روی که عمل بر مجاز کرد ای کبک خوش خرام کجا می‌روی بایست غره مشو که گربه زاهد نماز کرد حافظ مکن ملامت رندان که در ازل ما را خدا ز زهد ریا بی‌نیاز کرد,"[[9.1733818e-05 6.9987153e-05 5.8084331e-03 ... 3.5788296e-03
  5.3787306e-02 9.1039231e-03]]",3
661,LASER,آخرت را بر دنیا باید ترجیح داد,غزلیات حافظ => 246,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",صبا ز منزل جانان گذر دریغ مدار وز او به عاشق بی‌دل خبر دریغ مدار به شکر آن که شکفتی به کام بخت ای گل نسیم وصل ز مرغ سحر دریغ مدار حریف عشق تو بودم چو ماه نو بودی کنون که ماه تمامی نظر دریغ مدار جهان و هر چه در او هست سهل و مختصر است ز اهل معرفت این مختصر دریغ مدار کنون که چشمه قند است لعل نوشینت سخن بگوی و ز طوطی شکر دریغ مدار مکارم تو به آفاق می‌برد شاعر از او وظیفه و زاد سفر دریغ مدار چو ذکر خیر طلب می‌کنی سخن این است که در بهای سخن سیم و زر دریغ مدار غبار غم برود حال خوش شود حافظ تو آب دیده از این رهگذر دریغ مدار,"[[ 0.01150418 -0.00025412  0.01525568 ...  0.00759447  0.01883356
   0.00970871]]",2
660,LASER,آخرت را بر دنیا باید ترجیح داد,غزلیات حافظ => 385,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",خدا را کم نشین با خرقه پوشان رخ از رندان بی‌سامان مپوشان در این خرقه بسی آلودگی هست خوشا وقت قبای می فروشان در این صوفی وشان دردی ندیدم که صافی باد عیش دردنوشان تو نازک طبعی و طاقت نیاری گرانی‌های مشتی دلق پوشان چو مستم کرده‌ای مستور منشین چو نوشم داده‌ای زهرم منوشان بیا و از غبن این سالوسیان بین صراحی خون دل و بربط خروشان ز دلگرمی حافظ بر حذر باش که دارد سینه‌ای چون دیگ جوشان,"[[ 6.6929049e-04 -4.4787495e-05 -2.3444714e-04 ...  5.9401174e-03
  -2.9864146e-03  5.7785162e-03]]",1
663,LASER,آخرت را بر دنیا باید ترجیح داد,غزلیات حافظ => 439,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",سحر با باد می‌گفتم حدیث آرزومندی خطاب آمد که واثق شو به الطاف خداوندی دعای صبح و آه شب کلید گنج مقصود است بدین راه و روش می‌رو که با دلدار پیوندی قلم را آن زبان نبود که سر عشق گوید باز ورای حد تقریر است شرح آرزومندی الا ای یوسف مصری که کردت سلطنت مغرور پدر را بازپرس آخر کجا شد مهر فرزندی جهان پیر رعنا را ترحم در جبلت نیست ز مهر او چه می‌پرسی در او همت چه می‌بندی همایی چون تو عالی قدر حرص استخوان تا کی دریغ آن سایه همت که بر نااهل افکندی در این بازار اگر سودیست با درویش خرسند است خدایا منعمم گردان به درویشی و خرسندی به شعر حافظ شیراز می‌رقصند و می‌نازند سیه چشمان کشمیری و ترکان سمرقندی,"[[ 0.00461368  0.00344051 -0.00060779 ...  0.02244789 -0.00226304
   0.00401312]]",4
860,LASER,آخرت را بر دنیا باید ترجیح داد,غزلیات شمس => 2011,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",ای بی تو حرام زندگانی خود بی تو کدام زندگانی بی روی خوش تو زنده بودن مرگ است به نام زندگانی پازهر تویی و زهر دنیا دانه تو و دام زندگانی گوهر تو و این جهان چو حقه باده تو و جام زندگانی بی آب تو گلستان چو شوره بی جوش تو خام زندگانی بی خوبی حسن باقوامت نگرفته قوام زندگانی با جمله مراد و کام بی تو نایافته کام زندگانی تا داد سلامتی ندادی کی کرد سلام زندگانی خامش کردم بکن تو شاهی پیش تو غلام زندگانی,"[[-1.5232822e-05 -5.3071347e-09 -1.3893081e-06 ...  1.1682965e-04
  -2.5135452e-05  1.3942303e-04]]",1
862,LASER,آخرت را بر دنیا باید ترجیح داد,غزلیات شمس => 2187,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",در رنگ یار بنگر تا رنگ زندگانی بر روی تو نشیند ای ننگ زندگانی هر ذره ای دوان است تا زندگی بیابد تو ذره ای نداری آهنگ زندگانی گر ز آنک زندگانی بودی مثال سنگی خوش چشمه ها دویدی از سنگ زندگانی در آینه بدیدم نقش خیال فانی گفتم چیی تو گفتا من زنگ زندگانی اندر حیات باقی یابی تو زندگان را وین باقیان کیانند دلتنگ زندگانی آن ها که اهل صلحند بردند زندگی را وین ناکسان بمانند در جنگ زندگانی,"[[ 0.00143928  0.00383143  0.00220336 ...  0.00618508 -0.00192551
   0.02407499]]",3
861,LASER,آخرت را بر دنیا باید ترجیح داد,غزلیات شمس => 225,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",از دفتر عمر ما یکتا ورقی مانده ست کز غیرت لطف آن جان در قلقی مانده ست بنوشته بر آن دفتر حرفی ز شکر خوشتر از خجلت آن حرفش مه در عرقی مانده ست عمر ابدی تابان اندر ورق بستان نی خوف ز تحویلی نی جای دقی مانده ست نامش ورقی بوده ملک ابد اندر وی اسرار همه پاکان آن جا شفقی مانده ست پیچیده ورق بر وی نوری ز خداوندی شمس الحق تبریزی روشن حدقی مانده ست,[[0.01119833 0.00244316 0.00222622 ... 0.01863383 0.01317728 0.03333991]],2
