,model,input_id,input_text,output_id,output_text,k,input_vector,output_vector
0,LASER,0,باید حقوق دیگران را رعایت کنیم,5799,و قال ع الولایات مضامیر الرجال ,1,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]",[[0.01120628 0.00916967 0.00724613 ... 0.00214781 0.02557705 0.02527727]]
1,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,5411,و الصدقه دواء منجح و اعمال العباد فی عاجلهم نصب اعینهم فی اجالهم ,1,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]","[[-0.00032033  0.01231648  0.00572618 ...  0.01157514  0.00535347
   0.03208892]]"
2,LASER,2,ما باید از غیبت کردن پرهیز کنیم,5556,و قال ع ترک الذنب اهون من طلب المعونه ,1,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]","[[ 0.00287769  0.00983087 -0.00033336 ...  0.01004399  0.02057759
   0.01904083]]"
3,LASER,3,باید خاک وطن را دوست داشت,5546,و قال ع من ملک استاثر ,1,"[[ 0.0029406  -0.00023008  0.00048073 ...  0.00078502  0.00918903
   0.01806159]]","[[ 0.00791661  0.0130178  -0.00074419 ...  0.00511673  0.00039462
   0.03356431]]"
4,LASER,4,نباید براساس ظاهر افراد را قضاوت کرد,5545,و قال ع من وضع نفسه مواضع التهمه فلا یلومن من اساء به الظن ,1,"[[ 0.00543491 -0.00022611 -0.00075588 ...  0.00736804  0.00964529
   0.05986009]]",[[0.00471849 0.00827358 0.041257   ... 0.00902434 0.01251144 0.02786304]]
5,LASER,5,باید تجارب خود را به افراد دیگر منتقل کنیم,5538,و قال ع لکل مقبل ادبار و ما ادبر کان لم یکن ,1,"[[ 0.02844489 -0.00019039  0.00320345 ...  0.001158    0.01048164
   0.01547805]]",[[0.01405381 0.01053343 0.0015543  ... 0.00663283 0.00202967 0.01856612]]
6,LASER,6,تفاوت قائل شدن بین انسان‌ها درست است,5598,و قال ع الخلاف یهدم الرای‌ ,1,"[[ 0.01777368 -0.00015635  0.00232677 ...  0.01111673  0.01345928
   0.0370598 ]]",[[0.00479178 0.00869258 0.00057067 ... 0.00832648 0.03715855 0.02544558]]
7,LASER,7,ثروت چیز خوبی است,5452,و قال ع عیبک مستور ما اسعدک جدک ,1,"[[ 9.4009418e-04 -3.0254703e-06  2.2454860e-03 ...  6.3155463e-04
  -2.2433507e-03  3.3947382e-02]]","[[ 0.0073411   0.01253732 -0.00060896 ...  0.00603495  0.00499175
   0.00585925]]"
8,LASER,8,باید قبل از سخن گفتن فکر کرد.,5472,و قال ع اذا تم العقل نقص الکلام ,1,"[[ 0.00333616 -0.00017176  0.00010727 ...  0.00500402  0.01580296
   0.02761766]]","[[ 0.00364155  0.00970512 -0.00317981 ...  0.00670761  0.03117959
   0.03811954]]"
9,LASER,9,باید قدردان دارایی‌های خودمان باشیم,5631,و قال ع افضل الاعمال ما اکرهت نفسک علیه ,1,"[[ 0.0065572  -0.00011245  0.00351247 ... -0.00013807  0.00767694
   0.03940542]]",[[0.00730272 0.01241936 0.01816402 ... 0.00574786 0.01125487 0.03769078]]
