,model,input_id,input_text,output_id,output_text,k,input_vector,output_vector
0,LASER,0,باید حقوق دیگران را رعایت کنیم,2065,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,1,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]",[[0.00051806 0.00121766 0.01415103 ... 0.0076396  0.01014341 0.00597498]]
1,LASER,0,باید حقوق دیگران را رعایت کنیم,1703,علم عشق برآمد برهانم ز زحیرم به لب چشمه حیوان بکشم پای بمیرم به که مانم به که مانم که سطرلاب جهانم چو قضا حکم روانم نه امیرم نه وزیرم بروی ای عالم هستی همه را پای ببستی تو اگر جان منستی نپذیرم نپذیرم,2,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]","[[ 4.8937737e-03 -4.1476618e-05  4.3802285e-03 ...  5.8385124e-03
   4.8457053e-03  1.1608249e-02]]"
2,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,1412,آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,1,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]","[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717411]]"
3,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,906,یکی گولی همی خواهم که در دلبر نظر دارد نمی خواهم هنرمندی که دیده در هنر دارد دلی همچون صدف خواهم که در جان گیرد آن گوهر دل سنگین نمی خواهم که پندار گهر دارد ز خودبینی جدا گشته پر از عشق خدا گشته ز مالش های غم غافل به مالنده عبر دارد,2,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]","[[ 4.8845476e-03 -5.7281599e-05  6.9777016e-04 ...  3.6312372e-03
   8.1543308e-03  3.9101034e-02]]"
4,LASER,2,ما باید از غیبت کردن پرهیز کنیم,2065,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,1,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]",[[0.00051806 0.00121766 0.01415103 ... 0.0076396  0.01014341 0.00597498]]
5,LASER,2,ما باید از غیبت کردن پرهیز کنیم,1822,رحت انا من بینکم غبت کذا من عینکم لا تغفلوا عن حینکم لا تهدموا دارینکم اخواننا اخواننا ان الزمان خاننا لا تنسوا هجراننا لا تهدموا دارینکم قد فاتنا اعمارنا و استنسیت اخبارنا و استثقلت اوزارنا لا تهدموا دارینکم استوثقوا ادیانکم و استغنموا اخوانکم و استعشقوا ایمانکم لا تهدموا دارینکم,2,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]",[[0.00277855 0.00176308 0.00181637 ... 0.01947225 0.01660637 0.01736563]]
6,LASER,3,باید خاک وطن را دوست داشت,1555,زهی سرگشته در عالم سر و سامان که من دارم زهی در راه عشق تو دل بریان که من دارم وگر در راه بازار غم عشقت خریدارم به صد جان ها بنفروشم ز عشقت آنچ من دارم,1,"[[ 0.0029406  -0.00023008  0.00048073 ...  0.00078502  0.00918903
   0.01806159]]","[[ 5.0268262e-03 -6.6934677e-05  9.4695133e-04 ...  6.2977360e-03
   1.2607109e-02  1.2850134e-02]]"
7,LASER,3,باید خاک وطن را دوست داشت,1412,آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,2,"[[ 0.0029406  -0.00023008  0.00048073 ...  0.00078502  0.00918903
   0.01806159]]","[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717411]]"
8,LASER,4,نباید براساس ظاهر افراد را قضاوت کرد,906,یکی گولی همی خواهم که در دلبر نظر دارد نمی خواهم هنرمندی که دیده در هنر دارد دلی همچون صدف خواهم که در جان گیرد آن گوهر دل سنگین نمی خواهم که پندار گهر دارد ز خودبینی جدا گشته پر از عشق خدا گشته ز مالش های غم غافل به مالنده عبر دارد,1,"[[ 0.00543491 -0.00022611 -0.00075588 ...  0.00736804  0.00964529
   0.05986009]]","[[ 4.8845476e-03 -5.7281599e-05  6.9777016e-04 ...  3.6312372e-03
   8.1543308e-03  3.9101034e-02]]"
9,LASER,4,نباید براساس ظاهر افراد را قضاوت کرد,2170,دایم پیش خود نهی آینه را هرآینه ز آنک نظیر نیستت جز که درون آینه در تو کجا رسم تو را همچو خیال روی تو در دل و جان و در نظر منظره هست و جای نه هم تو منزهی ز جا هم همه جای حاضری آیت بی چگونگی در تو و در معاینه از سوی تو موحدی از سوی من مشبهی جانب تو مواصله جانب من مباینه,2,"[[ 0.00543491 -0.00022611 -0.00075588 ...  0.00736804  0.00964529
   0.05986009]]","[[ 1.5359571e-02 -7.0175600e-05  3.7750839e-03 ...  8.3849104e-03
   6.5326844e-03  4.1143186e-02]]"
