,output_text,vector,output_data_source,index
0,"در سخن گفتن خطای جاهلان پیدا شود/ تیر کج چون از کمان بیرون دود رسوا شود
","[[ 5.1233326e-03  2.1247042e-03 -8.5619700e-05 ...  1.4836488e-03
  -8.2007237e-04  1.5438283e-02]]", شعرهای تک بیتی,1
1,"ترا دیدم و یوسف را شنیدم/ شنیدن کی بود مانند دیدن
","[[-4.3157677e-04 -5.2949763e-06 -1.7392673e-04 ...  1.7390586e-02
  -1.4126742e-03  6.5109376e-03]]", شعرهای تک بیتی,2
2,"رزق را روزی رسان پر میدهد/ بی مگس هرگز نماند عنکبوت
","[[-2.6380663e-05 -2.2061666e-08 -1.9236945e-04 ... -1.3635085e-05
  -1.5961578e-04  4.7930746e-04]]", شعرهای تک بیتی,3
3,"دل ز پر گفتن بمیرد در بدن/ گر چه گفتارش بود در عدن
","[[ 1.0522119e-02 -5.5991004e-05 -1.8325821e-03 ...  1.4407767e-02
   2.0042129e-03  2.4304137e-02]]", شعرهای تک بیتی,4
4,"امشب تو را به خوبی نسبت به ماه کردم/ تو خوب تر ز ماهی من اشتباه کردم
",[[0.00680117 0.00129139 0.0010536  ... 0.01415557 0.01841714 0.02110162]], شعرهای تک بیتی,5
5,"به همان قدر که چشم تو پر از زیباییست/ بی تو دنیای من ای دوست پر از تنهاییست
","[[ 6.9407552e-06  8.4773893e-04 -1.8889748e-05 ... -5.7614593e-06
  -1.3760896e-04 -1.4832040e-04]]", شعرهای تک بیتی,6
6,"در این فکرم که خواهی ماند با من مهربان یا نه/ به من کم میکنی لطفی که داری این زمان یا نه
","[[-0.00018745  0.02265125 -0.00054466 ...  0.01519741  0.01986599
   0.02218913]]", شعرهای تک بیتی,7
7,"به صد سال یک دوست آید به دست/ به یک روز توان کرد دشمن به شصت
",[[0.00250892 0.0103249  0.01172267 ... 0.01748332 0.01065012 0.00999011]], شعرهای تک بیتی,8
8,"طاعت آن نیست که بر خاک نهی پیشانی/ صدق پیش آر که ابلیس بسی کرد سجود
","[[-1.7872339e-04 -1.3366359e-07 -1.0020645e-05 ...  4.1689165e-04
  -1.2868465e-04  2.0868464e-03]]", شعرهای تک بیتی,9
9,"ز گفتار بیهوده جز رنج نیست/ چو خاموشی اندر جهان گنج نیست
","[[ 0.01825573 -0.00011706 -0.00300136 ...  0.01709796  0.02818649
   0.01837014]]", شعرهای تک بیتی,10
10,"بزرگی سراسر به گفتار نیست/ دو صد گفته چون نیم کردار نیست
","[[ 1.1732236e-04 -3.1479321e-05 -1.6760426e-03 ...  5.1709507e-03
   4.7029098e-03  3.1342190e-02]]", شعرهای تک بیتی,11
11,"مباش درپی آزار و هرچه خواهی کن/  که در شریعت ما غیر از این گناهی نیست
","[[ 0.01521843  0.00144161 -0.00301493 ...  0.00799156  0.02326391
   0.03622805]]", شعرهای تک بیتی,12
12,"یک عمر دور و تنها تنها به جرم اینکه/ او سرسپرده میخواست من دل سپرده بودم
","[[ 0.01632325 -0.00206059  0.00759851 ...  0.00456169  0.00962458
   0.02277196]]", شعرهای تک بیتی,13
13,"قناعت کن اگر در آرزوی گنج قارونی/  گدای خویش باش ار طالب ملک سلیمانی
",[[0.00619971 0.00438544 0.0084787  ... 0.01918745 0.00516825 0.01660749]], شعرهای تک بیتی,14
14,"میرود کز ما جدا گردد ولی/ جان و دل با اوست هر جا میرود
","[[ 2.5664603e-02 -7.2299517e-05  1.1205725e-02 ...  3.5200231e-02
   1.1902033e-02  2.0124149e-02]]", شعرهای تک بیتی,15
15,"به زیورها بیارایند مردم خوبرویان را/ تو سیمین تن چنان خوبی که زیورها بیارایی
","[[-3.1160112e-04  2.9035987e-04 -5.5192500e-05 ...  2.5691485e-03
  -7.2208140e-04  2.4404991e-03]]", شعرهای تک بیتی,16
16,"کلید دوزخ است آن نماز/ که در چشم مردم گزاری دراز
","[[-6.0008668e-05 -8.1474880e-08 -3.3393211e-05 ...  6.5730960e-04
  -2.6698338e-04 -1.4981587e-04]]", شعرهای تک بیتی,17
17,"مثل تنهایی یک کوچه در این شهر شلوغ/ دلخوش آمدن و رفتن یک رهگذرم
",[[0.00892819 0.01205068 0.00198832 ... 0.00618053 0.02113808 0.01812591]], شعرهای تک بیتی,18
18,"ز لب دوختن غنچه را زندگیست/ چو بشکفت زان پس پراکندگیست
","[[ 8.9262770e-03 -6.0801001e-05  5.0715747e-04 ...  1.0119854e-02
   1.9365085e-03  1.9234732e-02]]", شعرهای تک بیتی,19
19,"سرمای قوس تک تک دندان ندیده ای/  بر عیال و سفره بی نان ندیده ای
","[[ 1.28116375e-02 -4.58022587e-05  5.83510962e-04 ...  6.15788577e-03
  -7.77003763e-04  2.73920093e-02]]", شعرهای تک بیتی,20
20,"نیست عاشق یافتن آسان غنیمت دان مرا/ غنچه را دل خون شود تا بلبلی پیدا شود
",[[0.00171657 0.00118243 0.00225597 ... 0.00280156 0.01016139 0.01119238]], شعرهای تک بیتی,21
21,"بیا تا قدر یکدیگر بدانیم/ که تا ناگه ز یکدیگر نمانیم
","[[ 4.7165393e-03  8.4649779e-05  5.5884456e-08 ...  1.6074382e-04
  -2.2681912e-04  4.2979204e-04]]", شعرهای تک بیتی,22
22,"جان پدر تو سفره بی نان ندیده ای/ سرمای قوس و تک تک دندان ندیده ای
","[[-5.4152083e-04 -2.0773807e-05  5.4861746e-05 ...  7.0140683e-03
   5.4176287e-03  1.9911809e-02]]", شعرهای تک بیتی,23
23,"بر مال و جمال خویش غره مشو/ کان را به شبی برند و این را به تبی
","[[ 2.5397507e-04  7.1771351e-06 -5.2400014e-06 ... -2.6876114e-06
  -2.2524506e-04  1.0091980e-03]]", شعرهای تک بیتی,24
24,"معرفت در گرانی است به هرکس ندهند/ پر طاووس قشنگ است به کرکس ندهند
","[[ 0.00714908 -0.00014772  0.0008211  ...  0.02853893 -0.00404221
   0.019938  ]]", شعرهای تک بیتی,25
25,"دشمن خود را نباید زد تبر/ گر توانی کشت او را با شکر
","[[ 0.01264881 -0.00033347  0.00057494 ...  0.02826762  0.0042951
   0.00455137]]", شعرهای تک بیتی,26
26,"تا تو مراد من دهی کشته مرا فراق تو/ تا تو به داد من رسی من به خدا رسیده ام
",[[0.00583633 0.02048446 0.01267081 ... 0.00962147 0.00599043 0.0166391 ]], شعرهای تک بیتی,27
27,"آن نخل ناخلف که تبر شد ز ما نبود/ ما را زمانه گر شکند ساز میشویم
","[[ 9.3194135e-03 -6.0261673e-06  6.4746183e-03 ...  4.4738082e-03
   1.0594046e-02  2.3510361e-02]]", شعرهای تک بیتی,28
28,"گر عمارت را بری بر آسمان/ عاقبت زیر زمین گردی نهان
","[[ 7.69105856e-04  8.00731941e-04 -1.48130275e-05 ... -1.70612893e-05
  -1.46429142e-04  1.90545211e-03]]", شعرهای تک بیتی,29
29,"از تواضع کم نگردد رتبه گردن کشان/ نیست عیبی گر بود شمشیر لنگردار کج
","[[ 0.00085319  0.00312701 -0.0020351  ...  0.01569788  0.01374372
   0.02585206]]", شعرهای تک بیتی,30
30,"میفروشد او به جانی بوسه ای/ رو بخر کان رایگان است رایگان
",[[0.00691082 0.00122514 0.00372567 ... 0.07961014 0.0155194  0.00499859]], شعرهای تک بیتی,31
31,"دادند دو گوش و یک زبان ز آغاز/  یعنی دو بشنو و یکی بیش مگوی
",[[0.01197434 0.00088999 0.00019879 ... 0.00856561 0.00862485 0.02929052]], شعرهای تک بیتی,32
32,"در همه آفاق کس بی مرگ نیست/ وین عجایب بین که کس را برگ نیست
","[[-1.5780047e-04 -1.7956403e-08 -8.2623283e-06 ...  5.7323450e-05
  -1.5864661e-04 -1.4899984e-04]]", شعرهای تک بیتی,33
33,"مکن عیبم که نوشیدم می عشق/ شراب مفت را قاضی بنوشد
","[[-0.00086619  0.00291704 -0.00047514 ...  0.00787507  0.00515647
   0.02216193]]", شعرهای تک بیتی,34
34,"لبخند تو خلاصه خوبیهاست/ لختی بخند خنده ی گل زیباست
","[[ 1.19334087e-02 -4.66374804e-05  5.88821759e-03 ... -9.92064248e-04
   1.54375415e-02  2.46973820e-02]]", شعرهای تک بیتی,35
35,"کم گوی و به جز مصلحت خویش مگوی/ چیزی که نپرسند تو خود پیش مگوی
","[[ 7.7137928e-03  9.1175949e-05 -3.8350569e-04 ...  1.1055719e-04
  -2.5587235e-04  6.6472664e-03]]", شعرهای تک بیتی,36
36,"شبی بیدار دار آخر خدا را/ چو صد شب داشتی نفس وهوا را
",[[0.00864983 0.00085885 0.00038267 ... 0.00581535 0.03114389 0.01519503]], شعرهای تک بیتی,37
37,"کاکل از بالا نشینی رتبه ای پیدا نکرد/ زلف از افتادگی حالی همنشین ماه شد
","[[ 5.75306453e-03 -9.81604026e-05 -5.33142593e-04 ...  9.86379478e-03
   1.18371155e-02  2.15320904e-02]]", شعرهای تک بیتی,38
38,"هر که بود عاشق خود پنج نشان دارد/ سخت دل و سست قدم و کاهل و بیکار و ترش
","[[ 1.9721633e-03 -2.5720408e-05  1.7451726e-02 ...  2.4722747e-03
   1.6190430e-02  1.1105713e-02]]", شعرهای تک بیتی,39
39,"دشمنت را چون میخ خیمه میخواهم مدام/ سنگ بر سر خاک بر تن ریسمان اندر گردنش
","[[3.21642286e-03 5.53844657e-05 4.95300908e-03 ... 1.27562275e-02
  1.14707963e-03 3.25307027e-02]]", شعرهای تک بیتی,40
40,"گر خدا دار ز غم آزاد شو/ از خیال بیش و کم آزاد شو
",[[0.01056549 0.02321432 0.00499357 ... 0.02768738 0.02737015 0.03195138]], شعرهای تک بیتی,41
41,"ای که در خوابی همه شب تا به روز بهر گور خود چراغی بر فروز
","[[-2.9323133e-05 -3.9730150e-08 -7.2376868e-05 ... -8.5750198e-06
  -1.2499456e-04  1.1932973e-04]]", شعرهای تک بیتی,42
42,"گرمی خورشید ز عیسی بپرس/ خوبی یوسف ز زلیخا بپرس
","[[ 0.01330313  0.00093638 -0.00094042 ...  0.02479464 -0.00079226
   0.01432542]]", شعرهای تک بیتی,43
43,"افتادگی آموز اگر طالب فیضی/ هرگز نخورد آب زمینی که بلند است
","[[ 5.8670524e-03  9.5824231e-05  6.7655271e-04 ... -1.7390155e-03
   3.3600256e-03  1.1951092e-02]]", شعرهای تک بیتی,44
44,"کوه ناهموار را هموار کردن سخت نیست/ حرف نا هموار را هموار کردن مشکل است
","[[ 5.1379353e-05 -2.3895215e-04  3.4602594e-03 ...  9.4970129e-03
   2.2502974e-02  2.0466665e-02]]", شعرهای تک بیتی,45
45,"دود اگر بالا نشیند کسر شأن شعله نیست/ جای چشم ابرو نگیرد گر چه او بالاتر است
","[[-0.00095637  0.00544705  0.00017479 ...  0.00514324  0.01153106
   0.02853934]]", شعرهای تک بیتی,46
46,"تا خدا یار است با سلطان مپیچ/ گر خدا برگشت صد سلطان به هیچ
","[[ 0.00070849  0.00807213  0.00015817 ...  0.02931597 -0.00198934
   0.00986412]]", شعرهای تک بیتی,47
47,"مثل بیدی زلف ها را ریختی بر شانه ها/ گاه وقتی در قفس باشی رهاتر میشوی
","[[ 0.00432064  0.00998732  0.0053738  ... -0.00034229  0.00866128
   0.02614805]]", شعرهای تک بیتی,48
48,"ز بس معنی که دارم در ضمیرم/ خدا داند که در گفتن اسیرم
","[[ 0.00561656 -0.00047518  0.00041019 ...  0.01482612  0.00185569
   0.03252185]]", شعرهای تک بیتی,49
49,"دلی پر گوهر اسرار دارم/ولیکن بر زبان مسمار دارم
","[[ 1.2802871e-02 -3.3576769e-05  2.9152661e-06 ...  5.7946821e-03
   3.7867073e-03  3.1863350e-02]]", شعرهای تک بیتی,50
50,"دل که رنجید از کسی خرسند کردن مشکل است/ شیشه بشکسته را پیوند کردن مشکل است
","[[ 0.01453538 -0.00024048 -0.00075667 ...  0.01448344  0.03771707
   0.02995173]]", شعرهای تک بیتی,51
51,"تواضع گر چه محبوب است و فضل بیکران دارد/ نباید کرد بیش از حد که هیبت را زیان دارد
",[[0.00541403 0.0070901  0.00133794 ... 0.00915543 0.01863851 0.02727105]], شعرهای تک بیتی,52
