,Unnamed: 0,input_id,output_id,input_text,output_text,chapter,tag
761,460,1,5442,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,و قال ع الخلاف یهدم الرای‌,215,0
778,478,1,3218,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,در این عالم از هرچه بایستنیست نکوتر ز فرزند شایسته نیست,,0
735,432,26,4956,انسان نباید فخر فروشی داشته باشد.,Don't cry over someone who wouldn't cry over you,,0
103,303,26,3912,انسان نباید فخر فروشی داشته باشد.,God has no religion,,0
797,497,12,3690,انسان واقعی در برابر ظلم سکوت نمی‌کند,"For you, a thousand times ove",,0
724,420,48,3068,باید از منافق دوری کنیم,گفتار زیاد نه از نغزیست ولوله طبل ز بی‌مغزیستمن از روییدن خار سر دیوار فهمیدم که نا‌کس کس نمی‌گردد از این بالا نشینیها,,0
779,479,48,1842,باید از منافق دوری کنیم,کافرم ار در دو جهان عشق بود خوشتر از این دیده ایمان شود ار نوش کند کافر از این عشق بود کان هنر عشق بود معدن زر دوست شود جلوه از آن پوست شود پرزر از این عشق چو بگشاید لب بوی دهد بوی عجب مشک شده مست از او گشته خجل عنبر از این عشق بود خوب جهان مادر خوبان شهان خاک شود گوهر از آن فخر کند مادر از این,1819,0
796,496,48,1692,باید از منافق دوری کنیم,بار دیگر از دل و از عقل و جان برخاستیم یار آمد در میان ما از میان برخاستیم از فنا رو تافتیم و در بقا دربافتیم بی نشان را یافتیم و از نشان برخاستیم گرد از دریا برآوردیم و دود از نه فلک از زمان و از زمین و آسمان برخاستیم هین که مستان آمدند و راه را خالی کنید نی غلط گفتم ز راه و راهبان برخاستیم آتش جان سر برآورد از زمین کالبد خاست افغان از دل و ما چون فغان برخاستیم کم سخن گوییم وگر گوییم کم کس پی برد باده افزون کن که ما با کم زنان برخاستیم هستی است آن زنان و کار مردان نیستی است شکر کاندر نیستی ما پهلوان برخاستیم,1601,0
798,498,48,403,باید از منافق دوری کنیم,می‌فکن بر صف رندان نظری بهتر از این بر در میکده می کن گذری بهتر از این در حق من لبت این لطف که می‌فرماید سخت خوب است ولیکن قدری بهتر از این آن که فکرش گره از کار جهان بگشاید گو در این کار بفرما نظری بهتر از این ناصحم گفت که جز غم چه هنر دارد عشق برو ای خواجه عاقل هنری بهتر از این دل بدان رود گرامی چه کنم گر ندهم مادر دهر ندارد پسری بهتر از این من چو گویم که قدح نوش و لب ساقی بوس بشنو از من که نگوید دگری بهتر از این کلک حافظ شکرین میوه نباتیست به چین که در این باغ نبینی ثمری بهتر از این,غزل    ۴۰۴,0
120,346,48,5107,باید از منافق دوری کنیم,Don't let the muggles get you down,,1
712,408,19,3212,باید اهل یادگیری و دانش باشیم,خود سازی پیران بود افزون ز جوانان تعمیر ضرورست بناهای کهن را,,1
717,413,19,3637,باید اهل یادگیری و دانش باشیم,Talent hits a target no one else can hit. Genius hits a target no one else can see,,-1
