,input_id,output_id,input_text,output_text,chapter,tag1,tag2,-2,-1,0,1,2
0,0,5318,باید حقوق دیگران را رعایت کنیم,و قال ع من نصب نفسه للناس اماما فلیبدا بتعلیم نفسه قبل تعلیم غیره و لیکن تادیبه بسیرته قبل تادیبه بلسانه و معلم نفسه و مؤدبها احق بالاجلال من معلم الناس و مؤدبهم ,73,1,1,0,0,0,2,0
1,4,5564,نباید براساس ظاهر افراد را قضاوت کرد,و قال ع للظالم من الرجال ثلاث علامات یظلم من فوقه بالمعصیه و من دونه بالغلبه و یظاهر القوم الظلمه ,350,0,0,0,0,2,0,0
2,9,5563,باید قدردان دارایی‌های خودمان باشیم,و قال ع اشد الذنوب ما استهان به صاحبه ,348,0,0,0,0,2,0,0
3,13,5563,باید بخشنده باشیم,و قال ع اشد الذنوب ما استهان به صاحبه ,348,0,0,0,0,2,0,0
4,14,5414,باید حق‌جو وعدالت‌پیشه باشیم,و قال ع ما شککت فی الحق مذ اریته ,184,2,1,0,0,0,1,1
5,15,5379,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,و قال ع المرء مخبوء تحت لسانه ,148,2,0,0,0,1,0,1
6,20,5259,باید مهربان بود,و قال ع اذا قدرت علی عدوک فاجعل العفو عنه شکرا للقدره علیه ,11,2,2,0,0,0,0,2
7,24,5589,باید در برابر مشکلات استقامت داشته باشیم,و قال ع احذر ان یراک الله عند معصیته و یفقدک عند طاعته فتکون من الخاسرین و اذا قویت فاقو علی طاعه الله و اذا ضعفت فاضعف عن معصیه الله ,383,1,1,0,0,0,2,0
8,34,5286,باید به قلب و احساسات توجه کرد,قلب الاحمق فی فیه و لسان العاقل فی قلبه ,41,1,1,0,0,0,2,0
9,35,5402,مردم را باید از کارهای بد باز داشت,و قال ع الناس اعداء ما جهلوا ,172,0,0,0,0,2,0,0
10,36,5490,باید اهل یاری کردن یکدیگر بود,روی‌ انه ع رفع الیه رجلان سرقا من مال الله احدهما عبد من مال الله و الاخر من عروض الناس فقال ع اما هذا فهو من مال الله و لا حد علیه مال الله اکل بعضه بعضا و اما الاخر فعلیه الحد الشدید فقطع یده ,271,0,-1,0,1,1,0,0
11,37,5476,باید در هنگام پیمان بستن دقت کنیم,و قال ع عرفت الله سبحانه بفسخ العزائم و حل العقود و نقض الهمم ,250,1,-2,1,0,0,1,0
12,40,5475,باید سعی کنیم نیکو عمل کنیم,و قال ع افضل الاعمال ما اکرهت نفسک علیه ,249,1,0,0,0,1,1,0
13,44,5521,باید خسیس باشیم,و قال ع ما زنی غیور قط ,305,0,0,0,0,2,0,0
14,47,5344,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,و قال ع لا یترک الناس شیئا من امر دینهم لاستصلاح دنیاهم الا فتح الله علیهم ما هو اضر منه ,106,0,-1,0,1,1,0,0
15,48,5618,باید از منافق دوری کنیم,و قال ع کفاک ادبا لنفسک اجتناب ما تکرهه من غیرک ,412,0,1,0,0,1,1,0
