,model,input_id,input_text,output_id,output_text,k,input_vector,output_vector
0,LASER,0,باید حقوق دیگران را رعایت کنیم,3072,آورم پیش تو هر لحظه پیام دگران گویمت تا سخن خویش به نام دگران,1,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]","[[ 4.1540593e-02 -1.4299197e-05 -1.4786673e-04 ...  9.8432172e-03
   9.3139084e-03  3.6758620e-02]]"
1,LASER,0,باید حقوق دیگران را رعایت کنیم,3116,بدر را هم با بدی پاداش کردن نه کار مردم آزاده باشد,2,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]","[[ 0.00607489 -0.00017384 -0.00229653 ...  0.02003354  0.01227699
   0.01475279]]"
2,LASER,0,باید حقوق دیگران را رعایت کنیم,3197,خود سازی پیران بود افزون ز جوانان تعمیر ضرورست بناهای کهن را,3,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]","[[ 0.00257831 -0.00020721  0.00072528 ...  0.00605481  0.00076862
   0.03470681]]"
3,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,2922,تواضع گر چه محبوب است و فضل بیکران دارد نباید کرد بیش از حد که هیبت را زیان دارد,1,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]",[[0.00617392 0.00917732 0.00551452 ... 0.01431952 0.01997709 0.02716101]]
4,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,2935,چراغ جمله عالم عقل و دینست تو عاشق شو که به ز آن جمله اینست,2,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]","[[ 0.00248634 -0.00016384  0.01566106 ...  0.00515922  0.00691009
   0.03837936]]"
5,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,3194,خموشی پیشه کن در مکتب عشق که درس عاشقی بی قیل و قال است,3,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]","[[ 0.00455626  0.00234836  0.00086636 ... -0.00040043  0.01293201
   0.02448482]]"
6,LASER,2,ما باید از غیبت کردن پرهیز کنیم,3082,از طلا گشتن پشیمان گشته ایم مرحمت فرموده ما را مس کنید,1,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]",[[0.00039766 0.00355757 0.00086508 ... 0.01052631 0.01272189 0.02713549]]
7,LASER,2,ما باید از غیبت کردن پرهیز کنیم,3089,امیر قافله را هم تغافلی باید که نا‌امید نگردندقاطعان طریق,2,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]","[[ 8.5017044e-04 -7.6358949e-05  9.4927027e-04 ...  6.9947564e-03
   1.7883277e-02  1.9532798e-02]]"
8,LASER,2,ما باید از غیبت کردن پرهیز کنیم,3068,آن روز قبول درگه دوست شوی کز رد و قبول خلق پروا نکنی,3,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]","[[ 0.01031461 -0.00025178  0.00013379 ...  0.02433346  0.01776553
   0.02187753]]"
9,LASER,3,باید خاک وطن را دوست داشت,3191,خاکم به سر ز غصه به سر خاک اگر کنم خاک وطن که رفت چه خاکی به سر کنم,1,"[[ 0.0029406  -0.00023008  0.00048073 ...  0.00078502  0.00918903
   0.01806159]]","[[ 0.00048767 -0.0001397   0.00155051 ...  0.00990536  0.0190069
   0.01807042]]"
