,output_vector,input_vector,Unnamed: 0,input_id,input_text,output_id,output_text,k,chapter_number,tag
0,0,0,0,0,باید حقوق دیگران را رعایت کنیم,5469,و قال ع اذا ازدحم الجواب خفی‌ الصواب ,1,243,0
1,0,0,1,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
2,0,0,2,2,ما باید از غیبت کردن پرهیز کنیم,5401,و قال ع کم من اکله منعت اکلات ,1,171,0
3,0,0,3,3,باید خاک وطن را دوست داشت,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
4,0,0,4,4,نباید براساس ظاهر افراد را قضاوت کرد,5399,و قال ع قد اضاء الصبح لذی عینین ,1,169,0
5,0,0,5,5,باید تجارب خود را به افراد دیگر منتقل کنیم,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
6,0,0,6,6,تفاوت قائل شدن بین انسان‌ها درست است,5399,و قال ع قد اضاء الصبح لذی عینین ,1,169,0
7,0,0,7,7,ثروت چیز خوبی است,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
8,0,0,8,8,باید قبل از سخن گفتن فکر کرد.,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
9,0,0,9,9,باید قدردان دارایی‌های خودمان باشیم,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
10,0,0,10,10,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
11,0,0,11,11,باید به یتیمان کمک کرد,5276,و قال ع افضل الزهد اخفاء الزهد ,1,28,0
12,0,0,12,12,انسان واقعی در برابر ظلم سکوت نمی‌کند,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
13,0,0,13,13,باید بخشنده باشیم,5338,و قال ع اعقلوا الخبر اذا سمعتموه عقل رعایه لا عقل روایه فان رواه العلم کثیر و رعاته قلیل ,1,98,0
14,0,0,14,14,باید حق‌جو وعدالت‌پیشه باشیم,5603,و قال ع نعم الطیب المسک خفیف محمله عطر ریحه ,1,397,0
15,0,0,15,15,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,5306,و قال ع المراه عقرب حلوه اللسبه ,1,61,0
16,0,0,16,16,نباید از دیگران درخواست های متعدد داشت,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
17,0,0,17,17,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,5299,و قال ع لا غنی کالعقل و لا فقر کالجهل و لا میراث کالادب و لا ظهیر کالمشاوره ,1,54,0
18,0,0,18,18,نباید اندوهگین شد,5415,و قال ع ما کذبت و لا کذبت و لا ضللت و لا ضل بی‌ ,1,185,0
19,0,0,19,19,باید اهل یادگیری و دانش باشیم,5338,و قال ع اعقلوا الخبر اذا سمعتموه عقل رعایه لا عقل روایه فان رواه العلم کثیر و رعاته قلیل ,1,98,0
20,0,0,20,20,باید مهربان بود,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
21,0,0,21,21,آخرت را بر دنیا باید ترجیح داد,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
22,0,0,22,22,میزان موفقیت به اندازه میزان رنج و تلاش است,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
23,0,0,23,23,باید فرزندان خود را به خوبی تربیت کنیم,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
24,0,0,24,24,باید در برابر مشکلات استقامت داشته باشیم,5284,و قال ع لا قربه بالنوافل اذا اضرت بالفرائض ,1,39,0
25,0,0,25,25,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,5299,و قال ع لا غنی کالعقل و لا فقر کالجهل و لا میراث کالادب و لا ظهیر کالمشاوره ,1,54,0
26,0,0,26,26,انسان نباید فخر فروشی داشته باشد.,5518,و قال ع ما المبتلی الذی قد اشتد به البلاء باحوج الی الدعاء الذی لا یامن البلاء ,1,302,0
27,0,0,27,27,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
28,0,0,28,28,باید شکرگزار باشیم,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
29,0,0,29,29,باید به زیر دستان احترام گذاشت,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
30,0,0,30,30,نباید مغرور باشیم,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
31,0,0,31,31,باید خطاهای دیگران را ببخشیم,5381,و قال ع لکل امر‌ئ عاقبه حلوه او مره ,1,151,0
32,0,0,32,32,باید کم گویی کرد,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
33,0,0,33,33,نباید در خوردن زیاده‌روی کرد,5387,و قال ع قد بصرتم ان ابصرتم و قد هدیتم ان اهتدیتم و اسمعتم ان استمعتم ,1,157,0
34,0,0,34,34,باید به قلب و احساسات توجه کرد,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
35,0,0,35,35,مردم را باید از کارهای بد باز داشت,5299,و قال ع لا غنی کالعقل و لا فقر کالجهل و لا میراث کالادب و لا ظهیر کالمشاوره ,1,54,0
36,0,0,36,36,باید اهل یاری کردن یکدیگر بود,5603,و قال ع نعم الطیب المسک خفیف محمله عطر ریحه ,1,397,0
37,0,0,37,37,باید در هنگام پیمان بستن دقت کنیم,5399,و قال ع قد اضاء الصبح لذی عینین ,1,169,0
38,0,0,38,38,در انتخاب دوست باید دقت کنیم,5399,و قال ع قد اضاء الصبح لذی عینین ,1,169,0
39,0,0,39,39,باید وفای به عهد داشته باشیم,5411,و قال ع ثمره التفریط الندامه و ثمره الحزم السلامه ,1,181,0
40,0,0,40,40,باید سعی کنیم نیکو عمل کنیم,5541,و قال ع العمر الذی اعذر الله فیه الی ابن ادم ستون سنه ,1,326,0
41,0,0,41,41,صبر یکی از صفات خردمندان است,5492,و قال ع لا تجعلوا علمکم جهلا و یقینکم شکا اذا علمتم فاعملوا و اذا تیقنتم فاقدموا ,1,274,0
42,0,0,42,42,باید سختی‌ها را تحمل کرد,5642,و قال ع ما انقض النوم لعزائم الیوم ,1,440,0
43,0,0,43,43,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,5335,و قال ع لا یقل عمل مع التقوی و کیف یقل ما یتقبل ,1,95,0
44,0,0,44,44,باید خسیس باشیم,5368,و قال ع الصلاه قربان کل تقی‌ و الحج جهاد کل ضعیف و لکل شیء زکاه و زکاه البدن الصیام و جهاد المراه حسن التبعل ,1,136,0
45,0,0,45,45,باید به پدر و مادر احترام گذاشت,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
46,0,0,46,46,نباید عیب دیگران را بر ملا کنیم,5513,و قال ع ما اکثر العبر و اقل الاعتبار ,1,297,0
47,0,0,47,47,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,5299,و قال ع لا غنی کالعقل و لا فقر کالجهل و لا میراث کالادب و لا ظهیر کالمشاوره ,1,54,0
48,0,0,48,48,باید از منافق دوری کنیم,5442,و قال ع الخلاف یهدم الرای‌ ,1,215,0
49,0,0,49,49,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,5299,و قال ع لا غنی کالعقل و لا فقر کالجهل و لا میراث کالادب و لا ظهیر کالمشاوره ,1,54,0
