,model,input_id,input_text,output_id,output_text,k,input_vector,output_vector
0,LASER,0,باید حقوق دیگران را رعایت کنیم,3939,A brave man acknowledges the strength of others,1,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]","[[ 0.02225652 -0.00030711  0.01480351 ...  0.01365434 -0.00271821
   0.03326571]]"
1,LASER,0,باید حقوق دیگران را رعایت کنیم,4814,One person's craziness is another person's reality,2,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]","[[ 0.0327503  -0.00132052 -0.00021704 ...  0.00574278  0.01883475
   0.04633901]]"
2,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,4598,Kindness is a language which the deaf can hear and the blind can see,1,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]","[[ 1.16889104e-02 -6.24559398e-05  4.71521076e-03 ...  1.23533765e-02
   1.44145899e-02  2.13933140e-02]]"
3,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,3674,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife",2,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]","[[ 0.01436393 -0.00023607  0.00410527 ...  0.00701662  0.00952549
   0.02672971]]"
4,LASER,2,ما باید از غیبت کردن پرهیز کنیم,4462,The only way to get rid of temptation is to yield to it,1,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]","[[ 0.01254529 -0.00012432  0.05693787 ...  0.02848232  0.02430188
   0.02852093]]"
5,LASER,2,ما باید از غیبت کردن پرهیز کنیم,5094,"We learn from failure, not from success",2,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]","[[ 0.00225192 -0.00020933 -0.00041074 ...  0.00703025  0.01337415
   0.02124481]]"
6,LASER,3,باید خاک وطن را دوست داشت,4261,I love you like a fat kid loves cake,1,"[[ 0.0029406  -0.00023008  0.00048073 ...  0.00078502  0.00918903
   0.01806159]]","[[ 0.00652288 -0.00029569 -0.00391484 ...  0.00522712  0.01368891
   0.00762102]]"
7,LASER,3,باید خاک وطن را دوست داشت,5235,My wish is that you may be loved to the point of madness,2,"[[ 0.0029406  -0.00023008  0.00048073 ...  0.00078502  0.00918903
   0.01806159]]","[[ 0.0029183  -0.00031434  0.000206   ... -0.00198026  0.01847083
   0.05133805]]"
8,LASER,4,نباید براساس ظاهر افراد را قضاوت کرد,4384,You can't depend on your eyes when your imagination is out of focus,1,"[[ 0.00543491 -0.00022611 -0.00075588 ...  0.00736804  0.00964529
   0.05986009]]","[[ 0.00560662 -0.00046751  0.00857091 ...  0.00474784  0.01559871
   0.05153085]]"
9,LASER,4,نباید براساس ظاهر افراد را قضاوت کرد,5007,"The impossible could not have happened, therefore the impossible must be possible in spite of appearances",2,"[[ 0.00543491 -0.00022611 -0.00075588 ...  0.00736804  0.00964529
   0.05986009]]","[[ 0.00124063 -0.00091392  0.00135369 ...  0.01067215  0.00830568
   0.04613902]]"
